	Muricata_M_muricata	G1_M_elongata	G5_M_elongata	G6_M_elongata	M105_M_muricata	SAI1727_M_muricata	SAI1728_M_muricata	SAI1729_M_muricata	SAI1831_M_muricata	SAI1832_M_muricata	SAI1833_M_muricata	SAI1835_M_muricata	SAI1836_M_muricata	CA2_M_elongata	CA3_M_laxa	CA4_M_laxa	CA5_M_laxa	CA6_M_laxa	PAN_3_M_laxa	PAN_M7_M_muricata	PAN_4_M_laxa	PAN_M8_M_muricata	PAN_5_M_laxa	PAN_6_M_laxa	PAN_7_M_laxa	CAR330_M_muricata	PAN_M4_M_muricata	PAN_M5_M_muricata	CAR332_M_muricata	PAN_M6_M_muricata
PAN_4_M_laxa	0.11018457790687	0.11294856179144	0.10938817577064	0.11332333926731	0.11458821324838	0.10456291576876	0.11074674412068	0.11107467441207	0.10924763421718	0.11191792373278	0.11313595052937	0.11149629907243	0.10798276023611	0.083106905274993	0.083715918673288	0.021081233017896	0.083528529935351	0.021643399231706	0.019535275929917	0.10222055654455	0	0.10011243324276	0.021596552047222	0.02201817670758	0.021409163309285	0.078796964302445	0.10489084606015	0.10845123208095	0.081467253818045	0.10863862081889
PAN_M8_M_muricata	0.023751522533496	0.023517286611075	0.022674037290359	0.022674037290359	0.024454230300759	0.02080014991099	0.023517286611075	0.024219994378338	0.021830787969643	0.022439801367938	0.02379836971798	0.022439801367938	0.022392954183454	0.096177269746088	0.10076829382554	0.099503419844467	0.097395296542678	0.10479715169118	0.10184577906868	0.021456010493769	0.10011243324276	0	0.1074205940223	0.10760798276024	0.1074205940223	0.094631312658109	0.024173147193854	0.023048814766233	0.09252318935632	0.02258034292139
PAN_5_M_laxa	0.12035041693994	0.12245854024173	0.12025672257097	0.12428558043662	0.12222430431931	0.11407289421906	0.12109997189169	0.12063150004685	0.11772697460883	0.1198819450951	0.12067834723133	0.11969455635716	0.11875761266748	0.088775414597583	0.090930385083856	0.020612761173053	0.090133982947625	0.020940691464443	0.02169024641619	0.10990349479996	0.021596552047222	0.1074205940223	0	0.021174927386864	0.022533495736906	0.084793403916425	0.11229270120866	0.11697741965708	0.083997001780193	0.11791436334676
PAN_6_M_laxa	0.12339548393142	0.12339548393142	0.12016302820201	0.12630000936944	0.12480089946594	0.1145413660639	0.12095943033824	0.12152159655205	0.12063150004685	0.12362971985384	0.12250538742622	0.12259908179518	0.1181017520847	0.091773634404572	0.09219525906493	0.023470439426591	0.091352009744214	0.023236203504169	0.021643399231706	0.11013773072238	0.02201817670758	0.10760798276024	0.021174927386864	0	0.022346106998969	0.086105125081983	0.11379181111215	0.11777382179331	0.087932165276867	0.11707111402605
PAN_7_M_laxa	0.12297385927106	0.12152159655205	0.11805490490022	0.12536306567975	0.12400449732971	0.11538461538462	0.12086573596927	0.12442612199007	0.12039726412443	0.12362971985384	0.1213810549986	0.12278647053312	0.11693057247259	0.089899747025204	0.092335800618383	0.02201817670758	0.09041506605453	0.021924482338611	0.020893844279959	0.10732689965333	0.021409163309285	0.1074205940223	0.022533495736906	0.022346106998969	0	0.087042068771667	0.11529092101565	0.11786751616228	0.08741684624754	0.11866391829851
CAR330_M_muricata	0.10746744120678	0.10840438489647	0.10512508198257	0.10807645460508	0.10971610606203	0.10315750023424	0.10802960742059	0.10606202567226	0.1020800149911	0.1074205940223	0.10638995596365	0.10554670664293	0.10573409538087	0.021268621755832	0.020144289328211	0.076173521971329	0.019066804085074	0.082544739061182	0.082919516537056	0.096317811299541	0.078796964302445	0.094631312658109	0.084793403916425	0.086105125081983	0.087042068771667	0	0.10034666916518	0.10535931790499	0.017895624472969	0.10456291576876
PAN_M4_M_muricata	0.024594771854212	0.024594771854212	0.025531715543896	0.025765951466317	0.024547924669727	0.023845216902464	0.027967769137075	0.027030825447391	0.024501077485243	0.023095661950717	0.023845216902464	0.023938911271433	0.025110090883538	0.10315750023424	0.10596833130329	0.10713951091539	0.10371966644805	0.11215215965521	0.10718635809988	0.021830787969643	0.10489084606015	0.024173147193854	0.11229270120866	0.11379181111215	0.11529092101565	0.10034666916518	0	0.023985758455917	0.096786283144383	0.02501639651457
PAN_M5_M_muricata	0.025203785252506	0.02590649301977	0.023236203504169	0.026234423311159	0.025531715543896	0.022252412630001	0.026140728942191	0.026374964864612	0.024735313407664	0.026328117680127	0.02679658952497	0.026609200787033	0.024735313407664	0.10896655111028	0.11205846528624	0.11093413285862	0.1092007870327	0.11519722664668	0.11051250819826	0.0023892064086948	0.10845123208095	0.023048814766233	0.11697741965708	0.11777382179331	0.11786751616228	0.10535931790499	0.023985758455917	0	0.10044036353415	0.0014522627190106
CAR332_M_muricata	0.10465661013773	0.1029701114963	0.1032511946032	0.10737374683782	0.10498454042912	0.099409725475499	0.10493769324464	0.10578094256535	0.099831350135857	0.10624941441019	0.10615572004123	0.10554670664293	0.10390705518598	0.018832568162653	0.021456010493769	0.078703269933477	0.020753302726506	0.084980792654361	0.084418626440551	0.094725007027078	0.081467253818045	0.09252318935632	0.083997001780193	0.087932165276867	0.08741684624754	0.017895624472969	0.096786283144383	0.10044036353415	0	0.10226740372904
PAN_M6_M_muricata	0.023845216902464	0.02468846622318	0.023001967581748	0.024641619038696	0.025484868359412	0.021596552047222	0.025438021174927	0.026047034573222	0.024922702145601	0.02590649301977	0.026421812049096	0.026000187388738	0.025531715543896	0.10906024547925	0.11210531247072	0.11084043848965	0.10938817577064	0.11397919985009	0.11327649208283	0.0020612761173053	0.10863862081889	0.02258034292139	0.11791436334676	0.11707111402605	0.11866391829851	0.10456291576876	0.02501639651457	0.0014522627190106	0.10226740372904	0
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
