	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa
ECU072_M_californica	0.621866666666666	0.563666666666666	0.399733333333333	0.724333333333333	0.626466666666666	0.546133333333333	0.599533333333333	0.4934	0.5364	0.954333333333333	0.494266666666666	0.264533333333333	0.772466666666666	0.758	0.825333333333333	0.8194	0.324333333333333	0.430933333333333	0.549666666666666	0.470666666666666	0.1922	0.846533333333333	0	0.575666666666666	0.515133333333333	0.506733333333333	0.561066666666666	0.212866666666666	0.713	0.551866666666666	0.8962	0.126333333333333	0.685466666666666	0.853866666666666	0.833266666666666	0.7298	0.566133333333333	0.574133333333333	0.573666666666666	0.553	0.553	0.558266666666666	0.537666666666666
ECU076_Muricea_sp	0.772666666666666	0.6628	0.639933333333333	0.8264	0.893533333333333	0.698933333333333	0.116	0.318733333333333	0.5858	0.964333333333333	0.8996	0.710333333333333	0.939866666666666	0.9586	0.965266666666666	0.9512	0.786933333333333	0.908466666666666	0.153066666666666	0.661866666666666	0.412533333333333	0.9592	0.575666666666666	0	0.3778	0.391666666666666	0.057	0.709933333333333	0.745933333333333	0.0592666666666666	0.9556	0.590666666666666	0.961266666666666	0.925133333333333	0.934266666666666	0.946933333333333	0.551666666666666	0.229066666666666	0.550266666666666	0.3508	0.2432	0.252866666666666	0.481
ECU079_M_echinata	0.734	0.6094	0.602733333333333	0.7276	0.860933333333333	0.672333333333333	0.456533333333333	0.382733333333333	0.555933333333333	0.920466666666666	0.871733333333333	0.6064	0.911266666666666	0.939533333333333	0.9388	0.928533333333333	0.746866666666666	0.879066666666666	0.3982	0.632266666666666	0.4062	0.939666666666666	0.515133333333333	0.3778	0	0.226866666666666	0.3776	0.656066666666666	0.6896	0.379066666666666	0.8648	0.539533333333333	0.940466666666666	0.8966	0.904866666666666	0.927666666666666	0.546	0.439866666666666	0.5552	0.3936	0.393266666666666	0.415	0.4618
ECU080_M_echinata	0.760133333333333	0.663733333333333	0.629333333333333	0.833266666666666	0.885066666666666	0.694266666666666	0.43	0.376066666666666	0.587466666666666	0.9666	0.889466666666666	0.634	0.931266666666666	0.9424	0.929666666666666	0.936	0.747066666666666	0.872533333333333	0.403	0.655266666666666	0.387933333333333	0.9384	0.506733333333333	0.391666666666666	0.226866666666666	0	0.376266666666666	0.661666666666666	0.691133333333333	0.367333333333333	0.857733333333333	0.557266666666666	0.935066666666666	0.9182	0.922533333333333	0.9346	0.548	0.4162	0.5674	0.4016	0.398	0.3964	0.463866666666666
ECU082_Muricea_sp	0.779333333333333	0.680066666666666	0.648666666666666	0.851533333333333	0.903866666666666	0.715666666666666	0.0970666666666666	0.332733333333333	0.599533333333333	0.981533333333333	0.914	0.705133333333333	0.955133333333333	0.966733333333333	0.9734	0.958733333333333	0.777733333333333	0.909266666666666	0.162333333333333	0.676066666666666	0.417066666666666	0.967266666666666	0.561066666666666	0.057	0.3776	0.376266666666666	0	0.696133333333333	0.7276	0.0714	0.941066666666666	0.583866666666666	0.970066666666666	0.9392	0.947733333333333	0.958	0.5652	0.236133333333333	0.557533333333333	0.364	0.256466666666666	0.258	0.4888
ECU083_M_echinata	0.6076	0.593466666666666	0.464666666666666	0.717133333333333	0.616866666666666	0.544333333333333	0.747466666666666	0.634866666666666	0.6544	0.964266666666666	0.4156	0.256933333333333	0.7584	0.759333333333333	0.8366	0.807733333333333	0.133	0.244133333333333	0.6874	0.507	0.334666666666666	0.850933333333333	0.212866666666666	0.709933333333333	0.656066666666666	0.661666666666666	0.696133333333333	0	0.718866666666666	0.703266666666666	0.9116	0.197466666666666	0.689266666666666	0.8382	0.8246	0.720933333333333	0.723	0.7252	0.721466666666666	0.6928	0.6922	0.703866666666666	0.686
ECU085_M_echinata	0.7892	0.761066666666666	0.7608	0.8656	0.912533333333333	0.7432	0.783466666666666	0.7556	0.752933333333333	0.958	0.915	0.707	0.9472	0.970133333333333	0.965666666666666	0.968066666666666	0.7756	0.904866666666666	0.76	0.758866666666666	0.7574	0.967666666666666	0.713	0.745933333333333	0.6896	0.691133333333333	0.7276	0.718866666666666	0	0.746666666666666	0.899933333333333	0.728133333333333	0.962733333333333	0.944666666666666	0.9448	0.9648	0.758466666666666	0.766866666666666	0.768933333333333	0.7604	0.759666666666666	0.753266666666666	0.757666666666666
ECU089_Muricea_sp	0.7736	0.657333333333333	0.6384	0.828133333333333	0.894266666666666	0.695266666666666	0.113133333333333	0.3128	0.5784	0.944333333333333	0.8996	0.712266666666666	0.932866666666666	0.9396	0.933333333333333	0.934266666666666	0.771933333333333	0.8868	0.1586	0.6628	0.400066666666666	0.937	0.551866666666666	0.0592666666666666	0.379066666666666	0.367333333333333	0.0714	0.703266666666666	0.746666666666666	0	0.9448	0.5836	0.933133333333333	0.917333333333333	0.9256	0.9372	0.531533333333333	0.218333333333333	0.555	0.3528	0.241933333333333	0.243533333333333	0.463466666666666
ECU109_M_robusta	0.949	0.946933333333333	0.952266666666666	0.925	0.945666666666666	0.913133333333333	0.958933333333333	0.910866666666666	0.589333333333333	0.915333333333333	0.925933333333333	0.862133333333333	0.417066666666666	0.6026	0.426666666666666	0.577733333333333	0.9252	0.947133333333333	0.953066666666666	0.9218	0.950533333333333	0.4948	0.8962	0.9556	0.8648	0.857733333333333	0.941066666666666	0.9116	0.899933333333333	0.9448	0	0.899133333333333	0.630333333333333	0.7178	0.919333333333333	0.731933333333333	0.867933333333333	0.816933333333333	0.526466666666666	0.802733333333333	0.863066666666666	0.805333333333333	0.666
ECU111_M_californica	0.631933333333333	0.5392	0.3818	0.704466666666666	0.607866666666666	0.5222	0.636866666666666	0.498466666666666	0.522333333333333	0.943266666666666	0.4378	0.271066666666666	0.759	0.767466666666666	0.8384	0.817133333333333	0.279733333333333	0.417466666666666	0.565133333333333	0.482	0.210333333333333	0.841733333333333	0.126333333333333	0.590666666666666	0.539533333333333	0.557266666666666	0.583866666666666	0.197466666666666	0.728133333333333	0.5836	0.899133333333333	0	0.710466666666666	0.835066666666666	0.807066666666666	0.738666666666666	0.594533333333333	0.600733333333333	0.601933333333333	0.558066666666666	0.559866666666666	0.5936	0.560533333333333
