	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes
ECU046_M_squarro	0.079124894593835	0.079265436147288	0.075939286048908	0.077438395952403	0.077204160029982	0.076876229738593	0.12676848121428	0.09608357537712	0.09997189168931	0.099550267028952	0.097395296542678	0.09875386489272	0.074159093038508	0.090227677316593	0.070083387988382	0.062119366626066	0.095474561978825	0.13192167150754	0.02290827321278	0.022814578843811	0	0.020659608357538	0.13201536587651	0.12892345170055	0.061463506043287	0.098613323339267	0.13187482432306	0.024032605640401	0.13028202005059	0.10554670664293	0.12526937131078	0.12667478684531	0.13716855616977	0.13449826665417	0.13079733907992	0.13712170898529	0.043802117492739	0.13126581092476	0.038555232830507	0.039070551859833	0.037993066616696	0.038648927199475	0.076501452262719
ECU048_M_squarro	0.078000562166214	0.078422186826572	0.075049189543708	0.077766326243793	0.075986133233393	0.076829382554108	0.12953246509885	0.096177269746088	0.10128361285487	0.099737655766888	0.098800712077204	0.1002998219807	0.07406539866954	0.090602454792467	0.072238358474656	0.060245479246697	0.095380867609857	0.13360817014897	0.023095661950717	0.01991005340579	0.020659608357538	0	0.13393610044036	0.12873606296262	0.059027452450108	0.10011243324276	0.12986039539024	0.023564133795559	0.13150004684718	0.10489084606015	0.12648739810737	0.12630000936944	0.13838658296636	0.13473250257659	0.13182797713857	0.1385739717043	0.042068771666823	0.13117211655579	0.038414691277054	0.039211093413286	0.035557013023517	0.037618289140823	0.077344701583435
ECU049_M_californica	0.13543521034386	0.13754333364565	0.13313969830413	0.13328023985758	0.13524782160592	0.13674693150942	0.023189356319685	0.12475405228146	0.13070364471095	0.13248383772135	0.13037571441956	0.13154689403167	0.10728005246885	0.1234423311159	0.13173428276961	0.1225522346107	0.12498828820388	0.019113651269559	0.13571629345076	0.12761173053499	0.13201536587651	0.13393610044036	0	0.022158718261032	0.12222430431931	0.07139510915394	0.027827227583622	0.12864236859365	0.026000187388738	0.093694368968425	0.10123676567038	0.10756113557575	0.11280802023798	0.020378525250632	0.10601517848777	0.11182422936382	0.12601892626253	0.025625409912864	0.13299915675068	0.13229644898342	0.12957931228333	0.13356132296449	0.10357912489459
ECU050_M_californica	0.13046940878853	0.13421718354727	0.12761173053499	0.13000093694369	0.13093788063337	0.13243699053687	0.023189356319685	0.11702426684156	0.12320809519348	0.12400449732971	0.12203691558137	0.1222711515038	0.10095568256348	0.11449451887942	0.12948561791436	0.11950716761923	0.11824229363815	0.021315468940317	0.12953246509885	0.1234423311159	0.12892345170055	0.12873606296262	0.022158718261032	0	0.11725850276398	0.069708610512508	0.024735313407664	0.12330178956245	0.026140728942191	0.088681720228614	0.1005809050876	0.10409444392392	0.10952871732409	0.022065023892064	0.10357912489459	0.10990349479996	0.11950716761923	0.025063243699054	0.12915768762297	0.12897029888504	0.12494144101939	0.12971985383678	0.099034947999625
ECU056_M_fruticosa	0.057434648177645	0.058465286236297	0.056872481963834	0.056919329148318	0.056029232643118	0.058090508760424	0.11571254567601	0.085215028576782	0.089197039257941	0.089150192073456	0.087510540616509	0.090274524501077	0.067319404103813	0.081139323526656	0.049189543708423	0.013023517286611	0.083809613042256	0.12189637402792	0.060901339829476	0.060995034198445	0.061463506043287	0.059027452450108	0.12222430431931	0.11725850276398	0	0.082310503138761	0.11931977888129	0.061791436334676	0.12025672257097	0.096270964115057	0.11144945188794	0.11444767169493	0.1234423311159	0.12217745713483	0.11950716761923	0.12362971985384	0.056966176332802	0.11903869577438	0.063384240607139	0.063431087791624	0.061650894781224	0.062447296917455	0.067413098472782
ECU065_M_fruticosa	0.084090696149161	0.085496111683688	0.082778974983603	0.08385646022674	0.083669071488803	0.085168181392298	0.066710390705519	0.10887285674131	0.11173053499485	0.11027827227584	0.11004403635342	0.11219900683969	0.086245666635435	0.10081514101003	0.067178862550361	0.082778974983603	0.10381336081702	0.069895999250445	0.102361098098	0.095708797901246	0.098613323339267	0.10011243324276	0.07139510915394	0.069708610512508	0.082310503138761	0	0.073831162747119	0.098425934601331	0.072238358474656	0.095380867609857	0.11402604703457	0.11618101752085	0.12470720509697	0.073831162747119	0.11768012742434	0.12250538742622	0.092288953433899	0.073128454979856	0.099175489553078	0.098566476154783	0.096177269746088	0.10133046003935	0.085496111683688
ECU069_M_plantag	0.12897029888504	0.13402979480933	0.129063993254	0.12887660451607	0.13112526937131	0.13220275461445	0.025110090883538	0.11599362878291	0.12540991286424	0.12405134451419	0.12156844373653	0.12208376276586	0.10161154314626	0.11683687810363	0.12751803616603	0.11931977888129	0.1189918485899	0.024454230300759	0.13459196102314	0.12564414878666	0.13187482432306	0.12986039539024	0.027827227583622	0.024735313407664	0.11931977888129	0.073831162747119	0	0.12662793966083	0.018364096317811	0.088728567413098	0.098707017708236	0.10348543052563	0.10887285674131	0.026421812049096	0.10367281926356	0.10962241169306	0.12400449732971	0.017473999812611	0.1287829101471	0.13107842218683	0.12630000936944	0.13332708704207	0.099690808582404
ECU070_M_squarro	0.078984353040382	0.079780755176614	0.078328492457603	0.07762578469034	0.077813173428277	0.078047409350698	0.12259908179518	0.096458352852994	0.1005809050876	0.1014710015928	0.099597114213436	0.099878197320341	0.074861800805772	0.09130516255973	0.071535650707392	0.062072519441582	0.095099784502951	0.12836128548674	0.023657828164527	0.019535275929917	0.024032605640401	0.023564133795559	0.12864236859365	0.12330178956245	0.061791436334676	0.098425934601331	0.12662793966083	0	0.1261126206315	0.10400074955495	0.12250538742622	0.12601892626253	0.13627845966457	0.13093788063337	0.13018832568163	0.13735594490771	0.044645366813454	0.12686217558325	0.035791248945938	0.037337206033917	0.035041693994191	0.035463318654549	0.07495549517474
ECU072_M_californica	0.13192167150754	0.13510728005247	0.12929822917643	0.13126581092476	0.13178112995409	0.13426403073175	0.024454230300759	0.12035041693994	0.12578469034011	0.12803335519535	0.12836128548674	0.12526937131078	0.10545301227396	0.11894500140542	0.12897029888504	0.1213810549986	0.12091258315375	0.025953340204254	0.13262437927481	0.12606577344702	0.13028202005059	0.13150004684718	0.026000187388738	0.026140728942191	0.12025672257097	0.072238358474656	0.018364096317811	0.1261126206315	0	0.091586245666635	0.10193947343765	0.10629626159468	0.11229270120866	0.026281270495643	0.10596833130329	0.11140260470346	0.12362971985384	0.017989318841938	0.13023517286611	0.13182797713857	0.12864236859365	0.13426403073175	0.10170523751523
ECU076_Muricea_sp	0.10948187013961	0.11173053499485	0.10629626159468	0.10817014897405	0.10690527499297	0.11102782722758	0.085496111683688	0.10156469596177	0.10390705518598	0.10723320528436	0.10587463693432	0.10517192916706	0.084559167994004	0.097020519066804	0.099831350135857	0.093132202754614	0.097254754989225	0.092242106249414	0.10756113557575	0.099175489553078	0.10554670664293	0.10489084606015	0.093694368968425	0.088681720228614	0.096270964115057	0.095380867609857	0.088728567413098	0.10400074955495	0.091586245666635	0	0.015319029326338	0.02080014991099	0.016162278647053	0.088166401199288	0.021081233017896	0.012367656703832	0.092616883725288	0.085402417314719	0.10081514101003	0.09997189168931	0.10095568256348	0.10315750023424	0.080061838283519
